"exposure","gender","acceptability","age"
"None","Female",1.0,16.0
"None","Female",5.0,16.0
"None","Female",5.0,16.0
"None","Female",3.0,17.0
"None","Female",6.0,17.0
"None","Male",3.0,16.0
"None","Male",4.0,16.0
"None","Male",1.0,17.0
"None","Male",3.0,17.0
"None","Male",4.0,17.0
"Moderate","Female",3.0,16.0
"Moderate","Female",4.0,16.0
"Moderate","Female",3.0,17.0
"Moderate","Female",4.0,17.0
"Moderate","Female",6.0,17.0
"Moderate","Male",2.0,16.0
"Moderate","Male",5.0,16.0
"Moderate","Male",7.0,16.0
"Moderate","Male",5.0,17.0
"Moderate","Male",6.0,17.0
"High","Female",3.0,16.0
"High","Female",3.0,16.0
"High","Female",5.0,16.0
"High","Female",4.0,17.0
"High","Female",5.0,17.0
"High","Male",6.0,16.0
"High","Male",9.0,16.0
"High","Male",7.0,17.0
"High","Male",8.0,17.0
"High","Male",10.0,17.0
